Main Category,Sub Category Title,Sub Category Tax Code
Housing,Domestic Violence Shelters,BH-1800.1500-100
Housing,Homeless Shelters,BH-1800.8500
Housing,Maternity Homes,LJ-5000.5000
Housing,Senior Housing,BH-8500.8000
Housing,Sexual Assault Shelters,BH-1800.1500-800
Housing,Supervised Living for Older Youth,PH-6300.8000
Housing,Youth Shelters,BH-1800.1500-960
Housing,Appliances,BM-3000.0500
Housing,Clothing,BM-6500.1500
Housing,Furniture,BM-3000.2000*
Housing,Home Maintenance & Minor Repair Services,PH-3300.2750
Housing,Utility Payment Assistance,BV-8900.9300
Housing,Energy Efficient Home Improvement Assistance,NL-6000.9500
Housing,Housing Discrimination,FT-1800.3000
Housing,Low Income Rental Housing,BH-7000.4600
Housing,Rent Payment Assistance,BH-3800.7000
Housing,Section 8 Voucher / Housing Authority,BH-8300.3000
Housing,Bathing Facilities,BH-1800.3500
Housing,Temporary Mailing Address,BM-6500.6500-850
Housing,Meals,BD-5000
Housing,Animal Shelters,PD-7600.0600
Housing,Animal Licenses,PD-0700.0600
Finance & Employment,Career Counseling,HL-2500.8035
Finance & Employment,Job Assistance Centers,ND-1500
Finance & Employment,Employment Discrimination Assistance,FT-1800.1850
Finance & Employment,Vocational Rehabilitation,ND-9000
Finance & Employment,Technical/Trade Schools,HD-6000.9000
Finance & Employment,CalWorks,NL-1000.8500*
Finance & Employment,General Relief,NL-1000.2500
Finance & Employment,Cash Assistance Program for Immigrants,NL-1000.2400-150
Finance & Employment,Veteran Benefits Assistance,FT-1000.9000
Finance & Employment,CalAIM,BD-5000.3500
Finance & Employment,CalFresh (formerly Food Stamps),NL-6000.2000
Finance & Employment,Medicaid,NL-5000.5000
Finance & Employment,"Women, Infants, & Children",NL-6000.9500
Finance & Employment,Medicare,NS-8000.5000
Finance & Employment,Credit Counseling,DM-1500.1500
Finance & Employment,VITA Programs,DT-8800.9300
Finance & Employment,Utility Payment Assistance,BV-8900.9300
Finance & Employment,Well Animal Checkups,PD-9000.9700
Finance & Employment,Pet Food,PD-6250.6600
Food,CalFresh (formerly Food Stamps),NL-6000.2000
Food,Groceries,BD-1800.1000
Food,Post Disaster Food Services,TH-2600.6450
Food,"Women, Infants, & Children",NL-6000.9500
Food,Home Delivery Meals,BD-5000.3500
Food,Meals,BD-5000
Food,Nutrition Education,LH-2700.6000
Transportation,Bus Services,BT-4500.4700
Transportation,Travel Directions/Trip Planning,BT-8750.8600
Transportation,Rail Transportation,BT-4800.7000
Transportation,Disability Related Transportation,BT-4500.6500-170
Transportation,Medical Transportation,LD-1500
Transportation,Senior Ride Programs,BT-4500.6500-800
Transportation,General Paratransit/Community Ride Programs,BT-4500.6500-280
Transportation,Parking Permits People With Disabilities/Health Conditions,DF-7000.6550*YJ-8750
Health Care,Clinics & Urgent Care,LN
Health Care,Hospitals,LL-3000
Health Care,Psychiatric hospitals,RM-3300.6500
Health Care,Affordable Care Act Information & Counseling,LH-3500.0200
Health Care,Medicaid,NL-5000.5000
Health Care,Medicare,NS-8000.5000
Health Care,Patient Rights Assistance,FT-6200
Health Care,Prescription Drug Patient Assistance Programs,LH-6700.6300
